station_name,station_rating,station_review_count,city,postal_code,county,departement,region,latitude,longitude
Les Plans d'Hotonnes,3.5,17,Haut Valromey,01260,Belley,Ain,Auvergne-Rhône-Alpes,46.037025,5.6982224
Chalmazel,3.5,16,Chalmazel-Jeansagnière,42920,Montbrison,Loire,Auvergne-Rhône-Alpes,45.6927686,3.82689611020213
Col de Rousset,3.5,10,Saint-Agnan-en-Vercors,26420,Die,Drôme,Auvergne-Rhône-Alpes,44.83549005,5.41916791850526
Orelle,3.5,6,Orelle,73140,Saint-Jean-de-Maurienne,Savoie,Auvergne-Rhône-Alpes,45.2098,6.53526
Roubion Les Buisses,3.5,5,Roubion,06420,Alpes-Maritimes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,44.07484905,7.03072045054892
Camurac,3.5,4,Camurac,11340,Limoux,Aude,Occitanie,42.7968727,1.9178977
Les Gentianes,3.5,2,,,,,,,
Hauteville-Lompnes,3.5,2,Plateau d'Hauteville,01110,Belley,Ain,Auvergne-Rhône-Alpes,45.9622617,5.57829436327967
Grand Tourmalet (Barèges - La Mongie),3.4,95,,,,,,,
Valfréjus,3.4,93,Modane,73500,Saint-Jean-de-Maurienne,Savoie,Auvergne-Rhône-Alpes,45.162254,6.65726752475438
Les Orres,3.4,86,Les Orres,05200,Gap,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.5140024,6.5510313
Saint François Longchamp,3.4,63,Saint-François-Longchamp,73130,Saint-Jean-de-Maurienne,Savoie,Auvergne-Rhône-Alpes,45.4102581,6.37255499115835
Samoëns,3.4,42,Samoëns,74340,Bonneville,Haute-Savoie,Auvergne-Rhône-Alpes,46.0833937,6.7269662
Metabief - Mont D'or,3.4,42,,,,,,,
Aussois,3.4,36,Aussois,73500,Saint-Jean-de-Maurienne,Savoie,Auvergne-Rhône-Alpes,45.2275415,6.7413988
Valberg,3.4,33,,,,,,,
Crest-Voland / Cohennoz,3.4,28,,,,,,,
Gavarnie-Gèdre,3.4,23,Gavarnie-Gèdre,65120,Argelès-Gazost,Hautes-Pyrénées,Occitanie,42.75674225,-0.00028813246611975
Abriès-Ristolas en Queyras,3.4,18,Abriès-Ristolas,05460,Briançon,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.7908325,6.929163
Le Tanet,3.4,17,Soultzeren,68140,Colmar-Ribeauvillé,Haut-Rhin,Grand Est,48.0832956,7.0521171
Abondance,3.4,16,Abondance,74360,Thonon-les-Bains,Haute-Savoie,Auvergne-Rhône-Alpes,46.280661,6.7198574
Colmiane,3.4,16,Valdeblore,06420,Alpes-Maritimes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,44.064258,7.22391798417151
Cambre d'Aze,3.4,15,Saint-Pierre-dels-Forcats,66210,Prades,Pyrénées-Orientales,Occitanie,42.4526109,2.1251209
Larcenaire,3.4,12,,,,,,,
Saint Colomban des Villards,3.4,9,Saint-Colomban-des-Villards,73130,Saint-Jean-de-Maurienne,Savoie,Auvergne-Rhône-Alpes,45.2937986,6.2259435
Chamrousse,3.3,89,Chamrousse,38410,Grenoble,Isère,Auvergne-Rhône-Alpes,45.1171487,5.8931618787032
Orcières Merlette,3.3,85,,,,,,,
Saint Lary Soulan,3.3,81,Saint-Lary-Soulan,65170,Bagnères-de-Bigorre,Hautes-Pyrénées,Occitanie,42.816936,0.3219538
Pra Loup,3.3,68,,,,,,,
Ax 3 Domaines,3.3,67,Ax 3 Domaines,,Foix,Ariège,Occitanie,42.70068245,1.81529186328826
Peyragudes,3.3,64,Gouaux-de-Larboust,31110,Saint-Gaudens,Haute-Garonne,Occitanie,42.78809925,0.4773382
Monts Jura,3.3,44,,,,,,,
Le Collet d'Allevard,3.3,31,La Chapelle-du-Bard,38580,Grenoble,Isère,Auvergne-Rhône-Alpes,45.3957311,6.13126585405254
Les Aillons - Margériaz,3.3,30,Aillon-le-Jeune,73340,Chambéry,Savoie,Auvergne-Rhône-Alpes,45.6180731,6.0801824
Les Rousses,3.3,30,Les Rousses,39220,Saint-Claude,Jura,Bourgogne-Franche-Comté,46.4925035,6.0705476
Le Lac Blanc,3.3,29,,,,,,,
La Pierre Saint Martin,3.3,26,,,,,,,
Les Houches,3.3,20,Les Houches,74310,Bonneville,Haute-Savoie,Auvergne-Rhône-Alpes,45.891508,6.799138
Formiguères,3.3,20,Formiguères,66210,Prades,Pyrénées-Orientales,Occitanie,42.6140573,2.1028547
Molines en Queyras,3.3,16,Molines-en-Queyras,05350,Briançon,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.729805,6.8448169
Saint Maurice sur Moselle,3.3,6,Saint-Maurice-sur-Moselle,88560,Épinal,Vosges,Grand Est,47.8588336,6.8244935
Le Désert d'Entremont,3.3,4,,,,,,,
Saint Jean de Sixt,3.3,3,Saint-Jean-de-Sixt,74450,Annecy,Haute-Savoie,Auvergne-Rhône-Alpes,45.9238994,6.4133678
Valmorel,3.2,76,Les Avanchers-Valmorel,73260,Albertville,Savoie,Auvergne-Rhône-Alpes,45.4781616,6.4562373
Le Corbier,3.2,36,,,,,,,
Ancelle,3.2,19,Ancelle,05260,Gap,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.6235694,6.2097914
Briançon 1200,3.2,16,Briançon,05100,Briançon,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.8984037,6.6436313
Ceillac en Queyras,3.2,16,Ceillac,05600,Briançon,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.6379435,6.80502124149363
Thollon les Mémises,3.2,15,Thollon-les-Mémises,74500,Thonon-les-Bains,Haute-Savoie,Auvergne-Rhône-Alpes,46.3910383,6.6989377
La Chapelle d'Abondance,3.2,10,La Chapelle-d'Abondance,74360,Thonon-les-Bains,Haute-Savoie,Auvergne-Rhône-Alpes,46.2957033,6.7883361
Isola 2000,3.1,76,Isola,06420,Alpes-Maritimes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,44.1869246,7.14544120532934
Cauterets,3.1,58,Cauterets,65110,Argelès-Gazost,Hautes-Pyrénées,Occitanie,42.8893451,-0.114546
Font-Romeu - Pyrénées2000,3.1,53,,,,,,,
Luchon - Superbagnères,3.1,42,,,,,,,
Val Louron,3.1,26,,,,,,,
Savoie Grand Revard,3.1,25,,,,,,,
Flumet-St Nicolas La Chapelle,3.1,7,,,,,,,
Sixt,3.1,7,,,,,,,
Le Sappey en Chartreuse,3.1,7,Le Sappey-en-Chartreuse,38700,Grenoble,Isère,Auvergne-Rhône-Alpes,45.2599367,5.7772449
Besse - Super Besse,3.0,83,Super Besse,63610,Besse-et-Saint-Anastaise,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.5114582,2.8561577
La Bresse Hohneck,3.0,75,La Bresse,88250,Épinal,Vosges,Grand Est,48.03400165,6.9833397428847
Le Mont Dore,3.0,53,Mont-Dore,63240,Issoire,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.5749966,2.8094117
Brides Les Bains,3.0,10,Brides-les-Bains,73570,Albertville,Savoie,Auvergne-Rhône-Alpes,45.4525213,6.5667816
Chaillol,3.0,7,Saint-Michel-de-Chaillol,05260,Gap,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.69071895,6.15751235000001
Saint Hilaire du Touvet,3.0,3,Plateau-des-Petites-Roches,38660,Grenoble,Isère,Auvergne-Rhône-Alpes,45.3118569,5.88017176119991
La loge des gardes,3.0,3,,,,,,,
Prat-Peyrot,3.0,2,Val-d'Aigoual,30570,Florac,Lozère,Occitanie,44.1166738,3.5512077
Laye,3.0,1,Laye,05500,Gap,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.640874,6.0857633
Aiguilles en Queyras,3.0,1,,,,,,,
Hautacam,3.0,0,,,,,,,
Méaudre,2.9,7,Autrans-Méaudre-en-Vercors,38112,Grenoble,Isère,Auvergne-Rhône-Alpes,45.13138505,5.52678459246505
Superdévoluy-La Joue Du Loup,2.8,102,,,,,,,
Les Angles,2.8,66,Les Angles,30133,Nîmes,Gard,Occitanie,43.9525855,4.766294
Gourette,2.8,55,,,,,,,
Le Ballon d'Alsace,2.3,7,Lepuix,90200,Belfort,Territoire-de-Belfort,Bourgogne-Franche-Comté,47.8224909,6.8448679
Saint Bernard-Col de Marcieu,2.0,2,Plateau-des-Petites-Roches,38660,Grenoble,Isère,Auvergne-Rhône-Alpes,45.34551575,5.89154034653409
Sollières-Sardières,,,Val-Cenis,73500,Saint-Jean-de-Maurienne,Savoie,Auvergne-Rhône-Alpes,45.24710425,6.82174341583932
Bramans,,,Val-Cenis,73500,Saint-Jean-de-Maurienne,Savoie,Auvergne-Rhône-Alpes,45.1848889,6.85262757176817
Saint-Nizier-du-Moucherotte,,,Saint-Nizier-du-Moucherotte,38250,Grenoble,Isère,Auvergne-Rhône-Alpes,45.1706954,5.6296649
Grand Ballon,,,Goldbach-Altenbach,68760,Thann-Guebwiller,Haut-Rhin,Grand Est,47.9008362,7.0983962
Grand-Puy,,,Domps,87120,Limoges,Haute-Vienne,Nouvelle-Aquitaine,45.6561218,1.7157755
Val d'Azun,,,,,,,,,
Col de l'Arzelier,,,Château-Bernard,38650,Grenoble,Isère,Auvergne-Rhône-Alpes,44.9916793,5.58613098339464
Le Reposoir,,,Le Reposoir,74950,Bonneville,Haute-Savoie,Auvergne-Rhône-Alpes,46.0154107,6.5393843
